,model,network_idx,size_of_network,num_link,C0,C1,C2,C3,robustness_pa,robustness_ip,empty_io_ratio,deterministic_io_ratio,redundancy,num_input,num_output
0,bortezomib,61,67,126,56,8,0,3,0.6567164179104478,0.8921408582089553,1.0,0.0,-1,5.0,3.0
1,bortezomib,27,67,128,65,0,0,2,0.7313432835820896,0.9253731343283582,1.0,0.0,-1,5.0,3.0
2,bortezomib,60,67,128,55,9,0,3,0.63681592039801,0.8767199160447762,0.5,0.16666666666666666,32.0,5.0,3.0
3,bortezomib,26,67,127,50,14,1,2,0.7388059701492538,0.9253731343283582,1.0,0.0,-1,5.0,3.0
4,bortezomib,25,67,128,53,10,0,4,0.6753731343283582,0.8876078591417911,1.0,0.0,-1,5.0,3.0
5,bortezomib,59,67,125,50,9,0,8,0.6492537313432836,0.8783232276119403,0.5,0.16666666666666666,25.4,5.0,3.0
6,bortezomib,24,67,129,52,13,0,2,0.664179104477612,0.8889196595149254,1.0,0.0,-1,5.0,3.0
7,bortezomib,58,67,126,57,8,0,2,0.7611940298507462,0.9253731343283582,1.0,0.0,-1,5.0,3.0
8,bortezomib,23,67,127,55,7,0,5,0.6791044776119403,0.8240292677238806,0.5,0.16666666666666666,45.6,5.0,3.0
9,bortezomib,57,67,127,57,8,0,2,0.7164179104477612,0.9253731343283582,1.0,0.0,-1,5.0,3.0
10,bortezomib,28,67,126,62,4,0,1,0.7014925373134329,0.8880451259328358,1.0,0.0,-1,5.0,3.0
11,bortezomib,56,67,127,66,0,0,1,0.7238805970149254,0.9253731343283582,1.0,0.0,-1,5.0,3.0
12,bortezomib,55,67,128,60,2,0,5,0.6940298507462687,0.9253731343283582,1.0,0.0,-1,5.0,3.0
13,bortezomib,20,67,127,52,6,0,9,0.7313432835820896,0.9253731343283582,0.5,0.16666666666666666,19.2,5.0,3.0
14,bortezomib,54,67,129,61,4,0,2,0.6750621890547265,0.9213794309701493,1.0,0.0,-1,5.0,3.0
15,bortezomib,19,67,128,60,5,0,2,0.7686567164179104,0.9253731343283582,1.0,0.0,-1,5.0,3.0
16,bortezomib,53,67,125,65,0,0,2,0.585820895522388,0.8693592583955224,1.0,0.0,-1,5.0,3.0
17,bortezomib,18,67,125,64,2,0,1,0.7686567164179104,0.9253731343283582,1.0,0.0,-1,5.0,3.0
18,bortezomib,52,67,128,60,6,0,1,0.6791044776119403,0.9253731343283582,1.0,0.0,-1,5.0,3.0
19,bortezomib,1,67,128,56,10,0,1,0.6417910447761194,0.8648554104477612,1.0,0.0,-1,5.0,3.0
20,bortezomib,17,67,127,63,4,0,0,0.7388059701492538,0.9253731343283582,1.0,0.0,-1,5.0,3.0
21,bortezomib,51,67,127,59,7,0,1,0.7437810945273632,0.9253731343283582,1.0,0.0,-1,5.0,3.0
22,bortezomib,16,67,126,62,3,0,2,0.628731343283582,0.8590106110074627,1.0,0.0,-1,5.0,3.0
23,bortezomib,50,67,128,62,3,0,2,0.7761194029850746,0.9253731343283582,0.5,0.16666666666666666,20.0,5.0,3.0
24,bortezomib,15,67,127,62,1,0,4,0.7014925373134329,0.9046758395522388,0.5,0.16666666666666666,35.0,5.0,3.0
25,bortezomib,49,67,128,41,10,0,16,0.6455223880597015,0.8916015625,0.875,0.041666666666666664,92.6,5.0,3.0
26,bortezomib,99,67,128,63,3,0,1,0.4395877754086709,0.810605177238806,1.0,0.0,-1,5.0,3.0
27,bortezomib,14,67,126,65,1,0,1,0.6529850746268657,0.8912517490671642,1.0,0.0,-1,5.0,3.0
28,bortezomib,48,67,126,47,15,2,3,0.6865671641791045,0.9237843983208955,1.0,0.0,-1,5.0,3.0
29,bortezomib,98,67,128,57,10,0,0,0.6156716417910447,0.9104477611940298,1.0,0.0,-1,5.0,3.0
30,bortezomib,13,67,128,61,2,0,4,0.6648009950248756,0.8426714085820896,1.0,0.0,-1,5.0,3.0
31,bortezomib,47,67,128,59,7,0,1,0.6492537313432836,0.8868062033582089,1.0,0.0,-1,5.0,3.0
32,bortezomib,97,67,128,54,8,1,4,0.5217661691542289,0.8305736940298507,0.5,0.16666666666666666,59.0,5.0,3.0
33,bortezomib,22,67,129,65,0,0,2,0.6791044776119403,0.9132316930970149,1.0,0.0,-1,5.0,3.0
34,bortezomib,12,67,128,61,5,0,1,0.6256218905472637,0.8975046641791045,1.0,0.0,-1,5.0,3.0
35,bortezomib,46,67,129,59,8,0,0,0.6343283582089553,0.880684468283582,1.0,0.0,-1,5.0,3.0
36,bortezomib,96,67,128,59,5,0,3,0.7388059701492538,0.8955223880597015,1.0,0.0,-1,5.0,3.0
37,bortezomib,21,67,129,61,4,0,2,0.6567164179104478,0.9253731343283582,1.0,0.0,-1,5.0,3.0
38,bortezomib,45,67,127,67,0,0,0,0.6791044776119403,0.9091068097014925,1.0,0.0,-1,5.0,3.0
39,bortezomib,95,67,127,58,3,0,6,0.7325870646766169,0.8883220615671642,0.5,0.16666666666666666,6.8,5.0,3.0
40,bortezomib,78,67,125,65,1,0,1,0.7052238805970149,0.891484958022388,1.0,0.0,-1,5.0,3.0
41,bortezomib,44,67,127,66,0,0,1,0.7089552238805971,0.8908727845149254,1.0,0.0,-1,5.0,3.0
42,bortezomib,8,67,127,56,6,2,3,0.6791044776119403,0.9253731343283582,1.0,0.0,-1,5.0,3.0
43,bortezomib,94,67,127,66,0,0,1,0.7089552238805971,0.9140479244402985,1.0,0.0,-1,5.0,3.0
44,bortezomib,77,67,127,59,6,0,2,0.7014925373134329,0.9211462220149254,0.5,0.16666666666666666,86.6,5.0,3.0
45,bortezomib,11,67,126,63,2,0,2,0.7238805970149254,0.9253731343283582,1.0,0.0,-1,5.0,3.0
46,bortezomib,43,67,128,57,7,1,2,0.7985074626865671,0.9253731343283582,1.0,0.0,-1,5.0,3.0
47,bortezomib,93,67,126,62,4,0,1,0.6716417910447762,0.9130713619402985,1.0,0.0,-1,5.0,3.0
48,bortezomib,76,67,128,62,3,0,2,0.746268656716418,0.9253731343283582,1.0,0.0,-1,5.0,3.0
49,bortezomib,42,67,127,64,2,0,1,0.7164179104477612,0.9220644822761194,1.0,0.0,-1,5.0,3.0
50,bortezomib,10,67,125,66,0,0,1,0.6791044776119403,0.9253731343283582,1.0,0.0,-1,5.0,3.0
51,bortezomib,92,67,128,59,5,0,3,0.7089552238805971,0.9253731343283582,1.0,0.0,-1,5.0,3.0
52,bortezomib,75,67,127,47,14,0,6,0.6940298507462687,0.9253731343283582,0.0,0.3333333333333333,52.8,5.0,3.0
53,bortezomib,41,67,126,66,0,0,1,0.6865671641791045,0.897402635261194,1.0,0.0,-1,5.0,3.0
54,bortezomib,9,67,126,56,8,0,3,0.5335820895522388,0.8009998833955224,1.0,0.0,-1,5.0,3.0
55,bortezomib,91,67,124,63,3,0,1,0.7089552238805971,0.881661030783582,1.0,0.0,-1,5.0,3.0
56,bortezomib,74,67,129,49,8,0,10,0.6352611940298507,0.8666627798507462,0.625,0.125,36.0,5.0,3.0
57,bortezomib,40,67,125,57,6,0,4,0.6791044776119403,0.8837453358208955,1.0,0.0,-1,5.0,3.0
58,bortezomib,90,67,128,64,0,0,3,0.7089552238805971,0.9253731343283582,1.0,0.0,-1,5.0,3.0
59,bortezomib,73,67,127,61,5,0,1,0.6940298507462687,0.9253731343283582,1.0,0.0,-1,5.0,3.0
60,bortezomib,0,67,127,57,6,0,4,0.7238805970149254,0.9182311100746269,1.0,0.0,-1,5.0,3.0
61,bortezomib,39,67,128,57,3,0,7,0.746268656716418,0.8987290111940298,0.5,0.3333333333333333,66.4,5.0,3.0
62,bortezomib,89,67,129,55,6,0,6,0.6791044776119403,0.916015625,0.5,0.16666666666666666,43.8,5.0,3.0
63,bortezomib,72,67,128,60,7,0,0,0.5156716417910447,0.8699277052238806,1.0,0.0,-1,5.0,3.0
64,bortezomib,7,67,128,58,5,1,3,0.7238805970149254,0.9172545475746269,1.0,0.0,-1,5.0,3.0
65,bortezomib,38,67,124,67,0,0,0,0.7723880597014925,0.913027635261194,1.0,0.0,-1,5.0,3.0
66,bortezomib,88,67,127,48,15,0,4,0.7126865671641791,0.9253731343283582,1.0,0.0,-1,5.0,3.0
67,bortezomib,71,67,126,59,6,0,2,0.7126865671641791,0.8960179570895522,0.5,0.16666666666666666,18.4,5.0,3.0
68,bortezomib,37,67,128,63,3,0,1,0.6268656716417911,0.8895609841417911,1.0,0.0,-1,5.0,3.0
69,bortezomib,87,67,126,64,3,0,0,0.7014925373134329,0.8923886427238806,1.0,0.0,-1,5.0,3.0
70,bortezomib,70,67,126,56,9,0,2,0.7089552238805971,0.8823752332089553,1.0,0.0,-1,5.0,3.0
71,bortezomib,36,67,127,63,1,0,3,0.6349502487562189,0.8390275186567164,0.5,0.16666666666666666,36.8,5.0,3.0
72,bortezomib,86,67,125,65,2,0,0,0.6902985074626866,0.8698402518656716,1.0,0.0,-1,5.0,3.0
73,bortezomib,69,67,127,58,9,0,0,0.7723880597014925,0.9253731343283582,1.0,0.0,-1,5.0,3.0
74,bortezomib,35,67,127,55,4,2,6,0.7052238805970149,0.865292677238806,1.0,0.0,-1,5.0,3.0
75,bortezomib,85,67,128,61,3,0,3,0.7089552238805971,0.8826521688432836,1.0,0.0,-1,5.0,3.0
76,bortezomib,68,67,124,55,10,0,2,0.6604477611940298,0.8980293843283582,1.0,0.0,-1,5.0,3.0
77,bortezomib,34,67,129,61,3,0,3,0.753731343283582,0.8971694263059702,1.0,0.0,-1,5.0,3.0
78,bortezomib,2,67,128,53,5,0,9,0.6455223880597015,0.8757287779850746,0.5,0.16666666666666666,126.4,5.0,3.0
79,bortezomib,84,67,128,67,0,0,0,0.753731343283582,0.9253731343283582,1.0,0.0,-1,5.0,3.0
80,bortezomib,67,67,127,64,0,0,3,0.7014925373134329,0.8739505597014925,1.0,0.0,-1,5.0,3.0
81,bortezomib,33,67,128,46,15,2,4,0.7425373134328358,0.9253731343283582,0.5,0.16666666666666666,208.8,5.0,3.0
82,bortezomib,6,67,127,54,7,0,6,0.7388059701492538,0.9253731343283582,0.5,0.3333333333333333,40.3,5.0,3.0
83,bortezomib,83,67,129,61,3,0,3,0.7388059701492538,0.9128673041044776,1.0,0.0,-1,5.0,3.0
84,bortezomib,66,67,126,58,6,0,3,0.7164179104477612,0.9080719449626866,1.0,0.0,-1,5.0,3.0
85,bortezomib,32,67,128,65,2,0,0,0.441044776119403,0.8189861240671642,1.0,0.0,-1,5.0,3.0
86,bortezomib,82,67,127,56,11,0,0,0.5055970149253731,0.8616050606343284,1.0,0.0,-1,5.0,3.0
87,bortezomib,5,67,129,64,2,0,1,0.6716417910447762,0.8866750233208955,1.0,0.0,-1,5.0,3.0
88,bortezomib,65,67,127,63,4,0,0,0.6791044776119403,0.9017024253731343,1.0,0.0,-1,5.0,3.0
89,bortezomib,31,67,125,55,8,0,4,0.6865671641791045,0.9056961287313433,0.5,0.16666666666666666,10.4,5.0,3.0
90,bortezomib,81,67,127,52,9,4,2,0.5978441127694859,0.8459217583955224,1.0,0.0,-1,5.0,3.0
91,bortezomib,64,67,128,56,11,0,0,0.6380597014925373,0.8616196361940298,1.0,0.0,-1,5.0,3.0
92,bortezomib,30,67,127,63,2,0,2,0.6104477611940299,0.9253731343283582,1.0,0.0,-1,5.0,3.0
93,bortezomib,4,67,126,49,10,1,7,0.7238805970149254,0.9253731343283582,0.75,0.08333333333333333,13.0,5.0,3.0
94,bortezomib,80,67,126,65,0,0,2,0.7723880597014925,0.9253731343283582,1.0,0.0,-1,5.0,3.0
95,bortezomib,3,67,126,59,6,0,2,0.7313432835820896,0.9253731343283582,1.0,0.0,-1,5.0,3.0
96,bortezomib,63,67,128,59,4,0,4,0.4925373134328358,0.8798536613805971,0.5,0.16666666666666666,42.0,5.0,3.0
97,bortezomib,29,67,127,67,0,0,0,0.7014925373134329,0.9253731343283582,1.0,0.0,-1,5.0,3.0
98,bortezomib,79,67,127,66,0,0,1,0.7052238805970149,0.8913537779850746,1.0,0.0,-1,5.0,3.0
99,bortezomib,62,67,127,59,7,0,1,0.6592039800995024,0.8605701958955224,1.0,0.0,-1,5.0,3.0
100,apoptosis,90,41,72,41,0,0,0,0.7560975609756098,0.9512195121951219,1.0,0.0,-1,2.0,1.0
101,apoptosis,89,41,72,34,4,1,2,0.6951219512195121,0.906273818597561,1.0,0.0,-1,2.0,1.0
102,apoptosis,29,41,71,25,14,0,2,0.6585365853658537,0.9512195121951219,1.0,0.0,-1,2.0,1.0
103,apoptosis,88,41,72,28,10,0,3,0.5853658536585366,0.8469655106707317,1.0,0.0,-1,2.0,1.0
104,apoptosis,30,41,71,41,0,0,0,0.7195121951219512,0.9512195121951219,1.0,0.0,-1,2.0,1.0
105,apoptosis,87,41,69,37,2,1,1,0.7195121951219512,0.9512195121951219,1.0,0.0,-1,2.0,1.0
106,apoptosis,86,41,70,34,6,0,1,0.7439024390243902,0.9418588033536586,1.0,0.0,-1,2.0,1.0
107,apoptosis,85,41,72,41,0,0,0,0.6951219512195121,0.8850038109756098,1.0,0.0,-1,2.0,1.0
108,apoptosis,32,41,71,41,0,0,0,0.7317073170731707,0.9204458841463414,1.0,0.0,-1,2.0,1.0
109,apoptosis,84,41,72,34,6,0,1,0.6036585365853658,0.8478229801829268,1.0,0.0,-1,2.0,1.0
110,apoptosis,83,41,71,40,0,0,1,0.7682926829268293,0.9319979039634146,1.0,0.0,-1,2.0,1.0
111,apoptosis,99,41,71,39,0,0,2,0.7682926829268293,0.926829268292683,1.0,0.0,-1,2.0,1.0
112,apoptosis,33,41,73,39,1,0,1,0.8536585365853658,0.9268769054878049,1.0,0.0,-1,2.0,1.0
113,apoptosis,82,41,72,40,0,0,1,0.7804878048780488,0.9512195121951219,1.0,0.0,-1,2.0,1.0
114,apoptosis,31,41,71,38,0,0,3,0.6219512195121951,0.9143483231707317,1.0,0.0,-1,2.0,1.0
115,apoptosis,39,41,72,33,7,0,1,0.5226480836236934,0.880930830792683,1.0,0.0,-1,2.0,1.0
116,apoptosis,34,41,70,40,0,0,1,0.7926829268292683,0.9512195121951219,1.0,0.0,-1,2.0,1.0
117,apoptosis,98,41,72,41,0,0,0,0.7804878048780488,0.9512195121951219,1.0,0.0,-1,2.0,1.0
118,apoptosis,81,41,73,39,0,0,2,0.7195121951219512,0.9512195121951219,1.0,0.0,-1,2.0,1.0
119,apoptosis,97,41,73,41,0,0,0,0.7682926829268293,0.9205411585365854,1.0,0.0,-1,2.0,1.0
120,apoptosis,80,41,72,40,0,0,1,0.7317073170731707,0.9436213795731707,1.0,0.0,-1,2.0,1.0
121,apoptosis,96,41,73,41,0,0,0,0.6951219512195121,0.9512195121951219,1.0,0.0,-1,2.0,1.0
122,apoptosis,35,41,71,41,0,0,0,0.7317073170731707,0.9512195121951219,1.0,0.0,-1,2.0,1.0
123,apoptosis,79,41,72,39,0,0,2,0.7926829268292683,0.9391196646341463,1.0,0.0,-1,2.0,1.0
124,apoptosis,36,41,70,41,0,0,0,0.7479674796747968,0.8958174542682927,1.0,0.0,-1,2.0,1.0
125,apoptosis,95,41,70,39,1,0,1,0.8170731707317073,0.9391434832317073,1.0,0.0,-1,2.0,1.0
126,apoptosis,78,41,69,39,0,0,2,0.7195121951219512,0.9184451219512195,1.0,0.0,-1,2.0,1.0
127,apoptosis,76,41,73,41,0,0,0,0.7317073170731707,0.9512195121951219,1.0,0.0,-1,2.0,1.0
128,apoptosis,94,41,72,34,4,0,3,0.6219512195121951,0.9512195121951219,1.0,0.0,-1,2.0,1.0
129,apoptosis,77,41,72,40,0,0,1,0.6219512195121951,0.9379763719512195,1.0,0.0,-1,2.0,1.0
130,apoptosis,37,41,73,38,1,0,2,0.8170731707317073,0.9512195121951219,0.0,1.0,25.0,2.0,1.0
131,apoptosis,93,41,71,40,0,0,1,0.75,0.9512195121951219,1.0,0.0,-1,2.0,1.0
132,apoptosis,92,41,71,40,0,0,1,0.5627177700348431,0.9107517149390244,1.0,0.0,-1,2.0,1.0
133,apoptosis,28,41,72,41,0,0,0,0.7682926829268293,0.9397151295731707,1.0,0.0,-1,2.0,1.0
134,apoptosis,91,41,71,37,2,0,2,0.7317073170731707,0.8728086890243902,1.0,0.0,-1,2.0,1.0
135,apoptosis,38,41,70,41,0,0,0,0.6707317073170732,0.8829315929878049,1.0,0.0,-1,2.0,1.0
136,apoptosis,8,41,73,41,0,0,0,0.7032520325203252,0.8771198551829268,1.0,0.0,-1,2.0,1.0
137,apoptosis,40,41,70,41,0,0,0,0.6829268292682927,0.9262099847560976,1.0,0.0,-1,2.0,1.0
138,apoptosis,74,41,72,34,6,0,1,0.7621951219512195,0.8796446265243902,1.0,0.0,-1,2.0,1.0
139,apoptosis,23,41,71,37,0,0,4,0.7073170731707317,0.930592606707317,1.0,0.0,-1,2.0,1.0
140,apoptosis,41,41,70,39,0,0,2,0.6975609756097562,0.8156678734756098,1.0,0.0,-1,2.0,1.0
141,apoptosis,56,41,72,40,0,0,1,0.75,0.9512195121951219,1.0,0.0,-1,2.0,1.0
142,apoptosis,24,41,73,35,1,0,5,0.7804878048780488,0.9512195121951219,0.5,0.5,10.5,2.0,1.0
143,apoptosis,75,41,72,39,0,0,2,0.7317073170731707,0.9512195121951219,1.0,0.0,-1,2.0,1.0
144,apoptosis,57,41,73,40,0,0,1,0.7073170731707317,0.9512195121951219,1.0,0.0,-1,2.0,1.0
145,apoptosis,42,41,71,41,0,0,0,0.7682926829268293,0.9512195121951219,1.0,0.0,-1,2.0,1.0
146,apoptosis,55,41,72,41,0,0,0,0.7560975609756098,0.9512195121951219,1.0,0.0,-1,2.0,1.0
147,apoptosis,43,41,73,41,0,0,0,0.6219512195121951,0.887766768292683,1.0,0.0,-1,2.0,1.0
148,apoptosis,9,41,72,41,0,0,0,0.7682926829268293,0.8748094512195121,1.0,0.0,-1,2.0,1.0
149,apoptosis,58,41,70,37,3,0,1,0.774390243902439,0.9512195121951219,1.0,0.0,-1,2.0,1.0
150,apoptosis,26,41,73,39,1,0,1,0.7317073170731707,0.8549923780487805,1.0,0.0,-1,2.0,1.0
151,apoptosis,7,41,71,41,0,0,0,0.7195121951219512,0.8683546112804879,1.0,0.0,-1,2.0,1.0
152,apoptosis,70,41,72,40,0,0,1,0.7560975609756098,0.9512195121951219,1.0,0.0,-1,2.0,1.0
153,apoptosis,72,41,71,29,4,0,8,0.7713414634146342,0.9512195121951219,0.5,0.5,55.0,2.0,1.0
154,apoptosis,1,41,72,41,0,0,0,0.7926829268292683,0.9329744664634146,1.0,0.0,-1,2.0,1.0
155,apoptosis,0,41,71,38,2,0,1,0.6707317073170732,0.891577743902439,1.0,0.0,-1,2.0,1.0
156,apoptosis,22,41,73,41,0,0,0,0.7804878048780488,0.9470274390243902,1.0,0.0,-1,2.0,1.0
157,apoptosis,11,41,71,41,0,0,0,0.7560975609756098,0.9108708079268293,1.0,0.0,-1,2.0,1.0
158,apoptosis,25,41,71,35,2,0,4,0.7073170731707317,0.8367473323170732,0.5,0.5,6.5,2.0,1.0
159,apoptosis,59,41,73,37,2,1,1,0.7317073170731707,0.9383812881097561,1.0,0.0,-1,2.0,1.0
160,apoptosis,44,41,72,40,0,0,1,0.5121951219512195,0.8404868521341463,1.0,0.0,-1,2.0,1.0
161,apoptosis,21,41,72,40,0,0,1,0.573170731707317,0.9040586890243902,1.0,0.0,-1,2.0,1.0
162,apoptosis,12,41,72,39,1,0,1,0.5548780487804879,0.9372856326219512,1.0,0.0,-1,2.0,1.0
163,apoptosis,60,41,73,38,1,0,2,0.7713414634146342,0.9163490853658537,0.0,1.0,1.0,2.0,1.0
164,apoptosis,45,41,73,33,6,0,2,0.7560975609756098,0.9512195121951219,1.0,0.0,-1,2.0,1.0
165,apoptosis,10,41,71,41,0,0,0,0.524390243902439,0.7503334603658537,1.0,0.0,-1,2.0,1.0
166,apoptosis,20,41,70,41,0,0,0,0.7957317073170732,0.9512195121951219,1.0,0.0,-1,2.0,1.0
167,apoptosis,71,41,71,41,0,0,0,0.725609756097561,0.8673542301829268,1.0,0.0,-1,2.0,1.0
168,apoptosis,27,41,72,37,2,0,2,0.7804878048780488,0.9512195121951219,0.5,0.5,24.5,2.0,1.0
169,apoptosis,68,41,72,40,0,0,1,0.7682926829268293,0.9398342225609756,1.0,0.0,-1,2.0,1.0
170,apoptosis,73,41,71,35,5,0,1,0.6463414634146342,0.9512195121951219,1.0,0.0,-1,2.0,1.0
171,apoptosis,13,41,71,40,0,0,1,0.7378048780487805,0.9373332698170732,1.0,0.0,-1,2.0,1.0
172,apoptosis,46,41,73,41,0,0,0,0.7682926829268293,0.9512195121951219,1.0,0.0,-1,2.0,1.0
173,apoptosis,61,41,71,41,0,0,0,0.8048780487804879,0.9264719893292683,1.0,0.0,-1,2.0,1.0
174,apoptosis,47,41,72,41,0,0,0,0.7469512195121951,0.9512195121951219,1.0,0.0,-1,2.0,1.0
175,apoptosis,62,41,72,41,0,0,0,0.8048780487804879,0.9446455792682927,1.0,0.0,-1,2.0,1.0
176,apoptosis,15,41,73,41,0,0,0,0.4603658536585366,0.8377238948170732,1.0,0.0,-1,2.0,1.0
177,apoptosis,67,41,71,36,1,0,4,0.8048780487804879,0.9512195121951219,0.5,0.5,18.5,2.0,1.0
178,apoptosis,16,41,72,40,0,0,1,0.676829268292683,0.8972227515243902,1.0,0.0,-1,2.0,1.0
179,apoptosis,2,41,73,41,0,0,0,0.8292682926829268,0.926829268292683,1.0,0.0,-1,2.0,1.0
180,apoptosis,48,41,71,41,0,0,0,0.6707317073170732,0.9389767530487805,1.0,0.0,-1,2.0,1.0
181,apoptosis,14,41,73,37,3,0,1,0.676829268292683,0.9512195121951219,1.0,0.0,-1,2.0,1.0
182,apoptosis,53,41,70,39,0,0,2,0.6951219512195121,0.9512195121951219,1.0,0.0,-1,2.0,1.0
183,apoptosis,3,41,72,37,2,0,2,0.6707317073170732,0.9426686356707317,1.0,0.0,-1,2.0,1.0
184,apoptosis,69,41,71,41,0,0,0,0.7195121951219512,0.9018435594512195,1.0,0.0,-1,2.0,1.0
185,apoptosis,66,41,72,41,0,0,0,0.7073170731707317,0.9512195121951219,1.0,0.0,-1,2.0,1.0
