,model,network_idx,size_of_network,num_link,C0,C1,C2,C3,robustness_pa,robustness_ip,empty_io_ratio,deterministic_io_ratio,redundancy,num_input,num_output,num_wccs,norm_num_wccs,len_largest_wcc,norm_len_largest_wcc,type,avg_len_wcc,reversibility
576,hcc1954_short,10,16,31,8,3,0,5,0.59375,0.64581298828125,0.25,0.75,2.8,5.0,1.0,18,0.5294117647058824,5,0.3125,random,,0.6875
577,hcc1954_short,17,16,33,6,6,1,3,0.8125,0.6875,0.5,0.5,7.8,5.0,1.0,15,0.4411764705882353,16,1.0,random,,0.8125
579,hcc1954_short,68,16,33,9,4,0,3,0.78125,0.65545654296875,0.0625,0.9375,3.0,5.0,1.0,16,0.4705882352941176,5,0.3125,random,,0.8125
581,hcc1954_short,56,16,34,8,3,0,5,0.6875,0.6875,0.375,0.625,5.4,5.0,1.0,19,0.5588235294117647,6,0.375,random,,0.6875
582,hcc1954_short,26,16,32,6,5,0,5,0.84375,0.63153076171875,0.4375,0.5625,4.0,5.0,1.0,16,0.5,6,0.375,random,,0.6875
585,hcc1954_short,66,16,32,13,1,0,2,0.75,0.6868896484375,0.5,0.5,3.75,5.0,1.0,17,0.5,5,0.3125,random,,0.875
586,hcc1954_short,41,16,33,7,6,0,3,0.796875,0.669921875,0.5,0.5,4.6,5.0,1.0,15,0.4411764705882353,13,0.8125,random,,0.8125
588,hcc1954_short,42,16,31,13,1,0,2,0.53125,0.59375,0.5,0.5,4.0,5.0,1.0,14,0.4117647058823529,16,1.0,random,,0.875
592,hcc1954_short,18,16,31,7,4,0,5,0.6875,0.6641845703125,0.375,0.625,2.0,5.0,1.0,16,0.4705882352941176,15,0.9375,random,,0.6875
593,hcc1954_short,64,16,32,2,6,0,8,0.3791666666666666,0.55816650390625,0.46875,0.53125,5.6,5.0,1.0,14,0.4375,10,0.625,random,,0.5
596,hcc1954_short,63,16,32,10,2,0,4,0.6875,0.6875,0.75,0.25,3.0,5.0,1.0,14,0.4117647058823529,19,1.1875,random,,0.75
598,hcc1954_short,48,16,31,12,3,0,1,0.5625,0.6109619140625,0.0,1.0,3.4,5.0,1.0,15,0.4411764705882353,16,1.0,random,,0.9375
599,hcc1954_short,51,16,31,4,7,0,5,0.6875,0.49993896484375,0.25,0.75,6.2,5.0,1.0,16,0.4705882352941176,14,0.875,random,,0.6875
600,hgf,9,68,102,60,2,0,6,0.7058823529411765,0.9046559053308824,0.5,0.2,7.857142857142857,6.0,5.0,21,0.1521739130434782,95,1.3970588235294117,random,,0.9117647058823529
601,hgf,71,68,103,55,5,0,8,0.75,0.9117647058823528,0.25,0.15,34.2,6.0,5.0,25,0.181159420289855,90,1.3235294117647058,random,,0.8823529411764706
606,hgf,21,68,101,49,12,0,7,0.6801470588235294,0.8825109145220589,0.5,0.1,11.25,6.0,5.0,27,0.1956521739130435,100,1.4705882352941178,random,,0.8970588235294118
609,hgf,1,68,103,54,11,0,3,0.6838235294117647,0.9052447150735294,0.25,0.15,4.666666666666667,6.0,5.0,22,0.1594202898550724,105,1.5441176470588236,random,,0.9558823529411765
612,hgf,68,68,103,58,3,0,7,0.7352941176470589,0.9117647058823528,0.25,0.2,4.0,6.0,5.0,25,0.181159420289855,100,1.4705882352941178,random,,0.8970588235294118
613,hgf,84,68,102,49,10,0,9,0.6783088235294118,0.8814051011029411,0.25,0.2,4.375,6.0,5.0,21,0.1521739130434782,108,1.588235294117647,random,,0.8676470588235294
615,hgf,67,68,102,41,18,0,9,0.75,0.9117647058823528,0.25,0.15,9.666666666666666,6.0,5.0,22,0.1594202898550724,101,1.4852941176470589,random,,0.8676470588235294
616,hgf,57,68,103,52,7,0,9,0.7205882352941176,0.8690257352941176,0.5,0.15,9.88888888888889,6.0,5.0,21,0.1521739130434782,102,1.5,random,,0.8676470588235294
617,hgf,83,68,100,61,2,0,5,0.6936274509803922,0.8676470588235294,0.5,0.1,4.6,6.0,5.0,22,0.1594202898550724,108,1.588235294117647,random,,0.9264705882352942
618,hgf,99,68,101,59,4,0,5,0.6544117647058824,0.8769674862132353,0.5,0.1,4.8,6.0,5.0,22,0.1594202898550724,95,1.3970588235294117,random,,0.9264705882352942
622,hgf,65,68,102,53,9,1,5,0.6066176470588235,0.8827694163602942,0.5,0.1,7.833333333333333,6.0,5.0,23,0.1666666666666666,109,1.6029411764705883,random,,0.9264705882352942
623,hgf,81,68,103,52,10,0,6,0.7022058823529411,0.9117647058823528,0.5,0.1,26.666666666666668,6.0,5.0,22,0.1594202898550724,105,1.5441176470588236,random,,0.9117647058823529
624,hgf,97,68,102,43,14,0,11,0.7205882352941176,0.9117647058823528,0.125,0.175,2.0,6.0,5.0,25,0.181159420289855,111,1.6323529411764706,random,,0.8382352941176471
627,hgf,23,68,103,48,12,0,8,0.7573529411764706,0.9046559053308824,0.5,0.2,4.545454545454546,6.0,5.0,22,0.1594202898550724,110,1.6176470588235294,random,,0.8823529411764706
629,hgf,63,68,102,38,20,0,10,0.7058823529411765,0.9117647058823528,0.8125,0.0375,5.0,6.0,5.0,22,0.1594202898550724,109,1.6029411764705883,random,,0.8529411764705882
630,hgf,96,68,103,39,13,0,16,0.6470588235294118,0.8887867647058824,0.0,0.3375,3.234567901234568,6.0,5.0,22,0.1594202898550724,105,1.5441176470588236,random,,0.7647058823529411
633,hgf,5,68,102,57,4,0,7,0.6985294117647058,0.9117647058823528,0.0,0.3,6.583333333333333,6.0,5.0,26,0.1884057971014492,97,1.4264705882352942,random,,0.8970588235294118
634,hgf,3,68,101,41,19,0,8,0.7647058823529411,0.8455882352941176,0.125,0.25,1.2857142857142858,6.0,5.0,25,0.181159420289855,102,1.5,random,,0.8823529411764706
637,hgf,78,68,103,50,10,0,8,0.7279411764705882,0.9117647058823528,0.5,0.1,13.166666666666666,6.0,5.0,21,0.1521739130434782,107,1.5735294117647058,random,,0.8823529411764706
638,hgf,94,68,103,51,5,0,12,0.7867647058823529,0.9117647058823528,0.5,0.1,25.0,6.0,5.0,23,0.1666666666666666,109,1.6029411764705883,random,,0.8235294117647058
639,hgf,77,68,103,58,6,1,3,0.7426470588235294,0.9003044577205882,0.0,0.2,1.0,6.0,5.0,20,0.144927536231884,110,1.6176470588235294,random,,0.9558823529411765
642,hgf,93,68,102,54,7,0,7,0.7536764705882353,0.8970588235294118,0.25,0.15,7.6,6.0,5.0,22,0.1594202898550724,102,1.5,random,,0.8970588235294118
645,hgf,56,68,102,60,5,0,3,0.7205882352941176,0.9117647058823528,0.0,0.2,1.0,6.0,5.0,21,0.1521739130434782,108,1.588235294117647,random,,0.9558823529411765
646,hgf,11,68,102,43,15,0,10,0.7230392156862746,0.8911850873161765,0.25,0.2,1.875,6.0,5.0,26,0.1884057971014492,108,1.588235294117647,random,,0.8529411764705882
647,hgf,92,68,101,49,6,0,13,0.7647058823529411,0.8972311580882353,0.25,0.2,3.9,6.0,5.0,23,0.1666666666666666,109,1.6029411764705883,random,,0.8088235294117647
652,hgf,90,68,102,57,5,0,6,0.7389705882352942,0.8907686121323529,0.0,0.2,11.0,6.0,5.0,29,0.2101449275362318,85,1.25,random,,0.9117647058823529
653,hgf,73,68,102,54,12,0,2,0.7352941176470589,0.9117647058823528,0.5,0.1,5.333333333333333,6.0,5.0,27,0.1956521739130435,88,1.2941176470588236,random,,0.9705882352941176
654,hgf,24,68,100,54,10,0,4,0.7132352941176471,0.9117647058823528,0.5,0.1,1.4,6.0,5.0,21,0.1521739130434782,112,1.6470588235294117,random,,0.9411764705882353
655,hgf,89,68,103,53,7,0,8,0.7647058823529411,0.9031192555147058,0.25,0.3,1.625,6.0,5.0,26,0.1884057971014492,101,1.4852941176470589,random,,0.8823529411764706
658,hgf,10,68,102,51,13,1,3,0.6617647058823529,0.88134765625,0.5,0.1,8.0,6.0,5.0,22,0.1594202898550724,105,1.5441176470588236,random,,0.9558823529411765
659,hgf,88,68,102,38,16,0,14,0.7254901960784313,0.9117647058823528,0.0625,0.425,6.444444444444445,6.0,5.0,24,0.1739130434782608,109,1.6029411764705883,random,,0.7941176470588236
664,hgf,55,68,103,58,4,0,6,0.7352941176470589,0.8843204273897058,0.5,0.1,11.6,6.0,5.0,25,0.181159420289855,50,0.7352941176470589,random,,0.9117647058823529
666,hgf,16,68,101,48,12,0,8,0.6617647058823529,0.8847799862132353,0.5,0.1,8.166666666666666,6.0,5.0,21,0.1521739130434782,103,1.5147058823529411,random,,0.8823529411764706
669,hgf,45,68,101,44,15,0,9,0.7205882352941176,0.9117647058823528,0.0,0.4,1.5,6.0,5.0,23,0.1666666666666666,106,1.5588235294117647,random,,0.8676470588235294
673,hgf,35,68,103,63,3,0,2,0.8125,0.8708926930147058,0.5,0.1,15.75,6.0,5.0,23,0.1666666666666666,102,1.5,random,,0.9705882352941176
676,hgf,29,68,102,62,3,0,3,0.7297794117647058,0.8837316176470589,0.5,0.1,2.333333333333333,6.0,5.0,25,0.181159420289855,98,1.4411764705882353,random,,0.9558823529411765
683,hgf,17,68,100,61,4,0,3,0.7022058823529411,0.8938419117647058,0.5,0.1,4.333333333333333,6.0,5.0,25,0.181159420289855,100,1.4705882352941178,random,,0.9558823529411765
685,hgf,32,68,102,52,9,0,7,0.7132352941176471,0.9117647058823528,0.125,0.25,14.3,6.0,5.0,19,0.1376811594202898,113,1.661764705882353,random,,0.8970588235294118
687,hgf,33,68,102,50,11,1,6,0.6911764705882353,0.8624052159926471,0.5,0.1,6.75,6.0,5.0,27,0.1956521739130435,101,1.4852941176470589,random,,0.9117647058823529
689,hgf,46,68,101,54,9,0,5,0.7689950980392157,0.9117647058823528,0.5,0.1,7.333333333333333,6.0,5.0,23,0.1666666666666666,109,1.6029411764705883,random,,0.9264705882352942
715,mammalian,78,20,48,9,6,0,5,0.4625,0.821484375,0.5,0.5,73.0,1.0,1.0,9,0.2142857142857142,20,1.0,random,,0.75
723,mammalian,53,20,46,15,1,0,4,0.6375,0.95,0.5,0.5,5.0,1.0,1.0,9,0.2142857142857142,31,1.55,random,,0.8
727,mammalian,51,20,50,6,7,2,5,0.75,0.83984375,0.5,0.5,32.0,1.0,1.0,14,0.3333333333333333,20,1.0,random,,0.75
730,mammalian,26,20,50,14,3,0,3,0.775,0.95,0.5,0.5,19.0,1.0,1.0,8,0.1904761904761904,34,1.7,random,,0.85
731,mammalian,74,20,44,10,7,0,3,0.6125,0.764111328125,0.5,0.5,18.0,1.0,1.0,6,0.1428571428571428,33,1.65,random,,0.85
733,mammalian,90,20,50,16,1,0,3,0.65,0.95,0.5,0.5,3.0,1.0,1.0,11,0.2619047619047619,22,1.1,random,,0.85
749,mammalian,24,20,47,11,6,0,3,0.775,0.949609375,0.5,0.5,9.0,1.0,1.0,11,0.2619047619047619,15,0.75,random,,0.85
751,mammalian,68,20,50,7,10,0,3,0.5833333333333333,0.864794921875,0.5,0.5,40.0,1.0,1.0,11,0.2619047619047619,28,1.4,random,,0.85
770,mammalian,45,20,49,11,6,0,3,0.4166666666666666,0.833056640625,0.5,0.5,22.0,1.0,1.0,10,0.238095238095238,16,0.8,random,,0.85
778,mammalian,44,20,48,13,5,0,2,0.371875,0.774658203125,0.5,0.5,4.0,1.0,1.0,8,0.1904761904761904,31,1.55,random,,0.9
801,mapk,8,53,103,45,4,0,4,0.6179245283018868,0.8667637087264151,0.0,0.5,75.0,4.0,3.0,22,0.2037037037037037,53,1.0,random,,0.9245283018867925
804,mapk,54,53,104,39,9,0,5,0.7122641509433962,0.9245283018867924,0.5,0.3333333333333333,55.375,4.0,3.0,20,0.1851851851851851,88,1.660377358490566,random,,0.9056603773584906
810,mapk,4,53,103,40,8,0,5,0.60062893081761,0.8632259728773585,0.5,0.1666666666666666,2.6666666666666665,4.0,3.0,22,0.2037037037037037,54,1.018867924528302,random,,0.9056603773584906
812,mapk,55,53,102,45,3,0,5,0.8018867924528302,0.9245283018867924,0.5,0.1666666666666666,25.0,4.0,3.0,22,0.2037037037037037,82,1.5471698113207548,random,,0.9056603773584906
817,mapk,0,53,100,39,7,0,7,0.6886792452830188,0.9105616155660378,0.5,0.1666666666666666,6.25,4.0,3.0,19,0.1759259259259259,86,1.6226415094339623,random,,0.8679245283018868
819,mapk,6,53,102,39,10,0,4,0.6933962264150944,0.9245283018867924,0.5,0.1666666666666666,8.75,4.0,3.0,22,0.2037037037037037,48,0.9056603773584906,random,,0.9245283018867925
823,mapk,47,53,104,43,5,0,5,0.6969339622641509,0.9245283018867924,0.25,0.25,2.5,4.0,3.0,25,0.2314814814814814,75,1.4150943396226414,random,,0.9056603773584906
824,mapk,92,53,101,34,15,2,2,0.6886792452830188,0.9245283018867924,0.5,0.1666666666666666,20.5,4.0,3.0,19,0.1759259259259259,88,1.660377358490566,random,,0.9622641509433962
833,mapk,12,53,104,43,8,0,2,0.6273584905660378,0.9103220813679244,0.5,0.1666666666666666,23.33333333333333,4.0,3.0,23,0.2129629629629629,80,1.509433962264151,random,,0.9622641509433962
838,mapk,72,53,101,24,16,4,9,0.6022012578616353,0.8300412735849056,0.25,0.3333333333333333,18.6,4.0,3.0,25,0.2314814814814814,71,1.339622641509434,random,,0.8301886792452831
840,mapk,88,53,102,42,5,0,6,0.6084905660377359,0.8304282134433962,0.0,0.5,31.625,4.0,3.0,23,0.2129629629629629,52,0.981132075471698,random,,0.8867924528301887
844,mapk,87,53,104,44,3,0,6,0.7452830188679245,0.8818543632075472,0.5,0.1666666666666666,54.5,4.0,3.0,22,0.2037037037037037,83,1.5660377358490567,random,,0.8867924528301887
845,mapk,30,53,102,46,4,0,3,0.7547169811320755,0.9056603773584906,0.5,0.1666666666666666,4.5,4.0,3.0,23,0.2129629629629629,77,1.4528301886792452,random,,0.9433962264150944
850,mapk,69,53,103,34,7,0,12,0.5990566037735849,0.9021963443396226,0.75,0.0833333333333333,7.0,4.0,3.0,24,0.2222222222222222,79,1.490566037735849,random,,0.7735849056603774
852,mapk,85,53,102,31,10,1,11,0.7264150943396226,0.8845813679245284,0.5,0.1666666666666666,42.25,4.0,3.0,21,0.1944444444444444,86,1.6226415094339623,random,,0.7924528301886793
853,mapk,68,53,102,31,10,0,12,0.7547169811320755,0.9245283018867924,0.5,0.3333333333333333,19.5,4.0,3.0,20,0.1851851851851851,80,1.509433962264151,random,,0.7735849056603774
863,mapk,32,53,104,44,6,0,3,0.6226415094339622,0.8619177476415094,0.5,0.1666666666666666,16.0,4.0,3.0,19,0.1759259259259259,84,1.5849056603773586,random,,0.9433962264150944
870,mapk,65,53,104,40,9,1,3,0.7617924528301887,0.9245283018867924,0.25,0.25,10.0,4.0,3.0,27,0.25,81,1.528301886792453,random,,0.9433962264150944
873,mapk,98,53,101,39,6,0,8,0.6509433962264151,0.7864091981132075,0.5,0.3333333333333333,4.375,4.0,3.0,20,0.1851851851851851,81,1.528301886792453,random,,0.8490566037735849
875,mapk,64,53,104,43,6,0,4,0.6009433962264151,0.8614202535377359,0.25,0.3333333333333333,33.2,4.0,3.0,22,0.2037037037037037,81,1.528301886792453,random,,0.9245283018867925
879,mapk,63,53,101,37,10,3,3,0.6698113207547169,0.9030807783018868,0.5,0.1666666666666666,13.666666666666666,4.0,3.0,22,0.2037037037037037,80,1.509433962264151,random,,0.9433962264150944
881,mapk,96,53,99,37,12,1,3,0.7641509433962265,0.9245283018867924,0.5,0.1666666666666666,25.75,4.0,3.0,23,0.2129629629629629,72,1.3584905660377358,random,,0.9433962264150944
882,mapk,79,53,104,37,10,2,4,0.6084905660377359,0.8343528891509434,0.5,0.1666666666666666,44.0,4.0,3.0,28,0.2592592592592592,53,1.0,random,,0.9245283018867925
885,mapk,29,53,103,36,10,1,6,0.7216981132075472,0.9084795106132076,0.0,0.3333333333333333,14.166666666666666,4.0,3.0,24,0.2222222222222222,83,1.5660377358490567,random,,0.8867924528301887
896,mapk,11,53,102,30,17,2,4,0.660377358490566,0.9245283018867924,0.5,0.1666666666666666,7.5,4.0,3.0,23,0.2129629629629629,77,1.4528301886792452,random,,0.9245283018867925
901,oxidative,6,19,30,9,3,0,7,0.6052631578947368,0.9095394736842104,0.5,0.5,8.0,1.0,1.0,7,0.175,27,1.4210526315789471,random,,0.631578947368421
905,oxidative,8,19,30,13,4,0,2,0.6710526315789473,0.9181229440789472,0.5,0.5,1.0,1.0,1.0,8,0.2,31,1.631578947368421,random,,0.8947368421052632
910,oxidative,5,19,28,16,1,0,2,0.7894736842105263,0.9473684210526316,0.0,1.0,1.0,1.0,1.0,5,0.125,32,1.6842105263157894,random,,0.8947368421052632
922,oxidative,79,19,30,14,2,0,3,0.8421052631578947,0.8714535361842105,0.5,0.5,1.0,1.0,1.0,8,0.2,20,1.0526315789473684,random,,0.8421052631578947
924,oxidative,95,19,30,11,5,0,3,0.75,0.9473684210526316,0.5,0.5,2.0,1.0,1.0,7,0.175,34,1.7894736842105263,random,,0.8421052631578947
932,oxidative,44,19,28,12,2,0,5,0.7368421052631579,0.8983861019736842,0.5,0.5,5.0,1.0,1.0,6,0.15,11,0.5789473684210527,random,,0.736842105263158
958,oxidative,32,19,29,12,4,0,3,0.7368421052631579,0.8947368421052632,0.5,0.5,1.0,1.0,1.0,8,0.2,28,1.4736842105263157,random,,0.8421052631578947
962,oxidative,3,19,30,10,6,0,3,0.6842105263157895,0.9473684210526316,0.5,0.5,2.0,1.0,1.0,7,0.175,32,1.6842105263157894,random,,0.8421052631578947
969,oxidative,70,19,29,12,1,0,6,0.8026315789473685,0.9473684210526316,0.5,0.5,6.0,1.0,1.0,4,0.1,36,1.894736842105263,random,,0.6842105263157895
